Name,Rating,Release_date,Genres,Director_name,Runtime,URL
Avatar,75.0,08/27/2010,"Action,Adventure,Fantasy,ScienceFiction",James Cameron,2h 42m,https://themoviedb.org/movie/19995
Looop Lapeta,63.0,02/04/2022,"Action,Comedy,Crime",Aakash Bhatia,2h 11m,https://themoviedb.org/movie/783461
Nightmare Alley,70.0,12/03/2021,"Crime,Drama,Thriller",Guillermo del Toro,2h 30m,https://themoviedb.org/movie/597208
Free Guy,77.0,09/17/2021,"Comedy,Action,Adventure,ScienceFiction",Shawn Levy,1h 55m,https://themoviedb.org/movie/550988
The Simpsons in Plusaversary,66.0,11/12/2021,"Animation,Comedy,Fantasy",David Silverman,4m,https://themoviedb.org/movie/877183
Mortal Kombat,72.0,04/23/2021,"Action,Fantasy,Adventure",Simon McQuoid,1h 50m,https://themoviedb.org/movie/460465
Through My Window,76.0,02/04/2022,"Romance,Drama",Marçal Forés,1h 52m,https://themoviedb.org/movie/818647
Avengers: Infinity War,83.0,04/27/2018,"Adventure,Action,ScienceFiction","Anthony Russo,Joe Russo",2h 29m,https://themoviedb.org/movie/299536
The Lost City,69.0,03/25/2022,"Adventure,Comedy,Romance","Adam Nee,Aaron Nee",1h 52m,https://themoviedb.org/movie/752623
Run Gun,51.0,01/11/2022,"Action,Thriller",Christopher Borrelli,1h 36m,https://themoviedb.org/movie/910596
Jujutsu Kaisen 0,77.0,12/24/2021,"Animation,Action,Adventure,Mystery",Sunghoo Park,1h 45m,https://themoviedb.org/movie/810693
Cruella,82.0,05/28/2021,"Comedy,Crime,Adventure",Craig Gillespie,2h 14m,https://themoviedb.org/movie/337404
Queen of Spades,63.0,08/19/2021,Horror,Patrick White,1h 31m,https://themoviedb.org/movie/829358
American Siege,59.0,03/31/2022,"Action,Thriller,Crime,Drama",Edward Drake,1h 30m,https://themoviedb.org/movie/766907
Luca,79.0,06/17/2021,"Animation,Comedy,Family,Fantasy,Adventure",Enrico Casarosa,1h 35m,https://themoviedb.org/movie/508943
Echoes of a Crime,72.0,01/27/2022,"Thriller,Horror",Cristian Bernard,NAN,https://themoviedb.org/movie/842052
F9,73.0,06/25/2021,"Action,Crime,Thriller,Adventure",Justin Lin,2h 23m,https://themoviedb.org/movie/385128
The Hunting,49.0,01/21/2022,Horror,Mark Andrew Hamer,1h 31m,https://themoviedb.org/movie/870671
Ron's Gone Wrong,81.0,10/22/2021,"Animation,ScienceFiction,Family,Comedy","Sarah Smith,Jean-Philippe Vine",1h 47m,https://themoviedb.org/movie/482321
Chernobyl: Abyss,61.0,04/15/2021,"Drama,History,Adventure",Danila Kozlovsky,2h 16m,https://themoviedb.org/movie/589761
After We Fell,71.0,09/30/2021,"Romance,Drama",Castille Landon,1h 39m,https://themoviedb.org/movie/744275
Deep Water,56.0,03/18/2022,"Drama,Mystery,Thriller",Adrian Lyne,1h 56m,https://themoviedb.org/movie/619979
Curious George: Cape Ahoy,24.0,09/30/2021,"Animation,Adventure,Comedy",Doug Murphy,1h 28m,https://themoviedb.org/movie/918832
The 355,60.0,01/07/2022,"Action,Thriller",Simon Kinberg,2h 2m,https://themoviedb.org/movie/522016
Death on the Nile,65.0,02/11/2022,"Crime,Drama,Mystery,Thriller",Kenneth Branagh,2h 7m,https://themoviedb.org/movie/505026
Diary of a Wimpy Kid,64.0,12/03/2021,"Animation,Comedy,Family",Swinton O. Scott III,58m,https://themoviedb.org/movie/774741
Sex Appeal,67.0,01/14/2022,"Comedy,Romance",Talia Osteen,1h 30m,https://themoviedb.org/movie/803104
Dune,79.0,10/22/2021,"ScienceFiction,Adventure",Denis Villeneuve,2h 35m,https://themoviedb.org/movie/438631
The Last Warrior: Root of Evil,72.0,01/01/2021,"Fantasy,Adventure,Comedy",Dmitriy Dyachenko,2h,https://themoviedb.org/movie/589754
One Shot,68.0,01/21/2022,Action,James Nunn,1h 37m,https://themoviedb.org/movie/811592
The Mystery of Marilyn Monroe: The Unheard Tapes,64.0,04/27/2022,Documentary,Emma Cooper,1h 41m,https://themoviedb.org/movie/953300
Space Jam: A New Legacy,71.0,07/16/2021,"Family,Animation,Comedy,ScienceFiction",Malcolm D. Lee,1h 55m,https://themoviedb.org/movie/379686
Pursuit,56.0,02/18/2022,"Action,Crime,Thriller",Brian Skiba,1h 32m,https://themoviedb.org/movie/871799
Jungle Cruise,76.0,09/24/2021,"Action,Adventure,Fantasy",Jaume Collet-Serra,2h 7m,https://themoviedb.org/movie/451048
Two,54.0,07/23/2021,"Thriller,Horror","Mike Hostench,Mar Targarona",1h 11m,https://themoviedb.org/movie/811072
Black Widow,75.0,07/09/2021,"Action,Adventure,ScienceFiction",Cate Shortland,2h 14m,https://themoviedb.org/movie/497698
Antlers,64.0,10/29/2021,"Drama,Horror,Mystery",Scott Cooper,1h 39m,https://themoviedb.org/movie/516329
Zack Snyder's Justice League,83.0,03/18/2021,"Action,Adventure,Fantasy,ScienceFiction",Zack Snyder,4h 2m,https://themoviedb.org/movie/791373
The Weekend Away,59.0,03/03/2022,"Thriller,Mystery",Kim Farrant,1h 31m,https://themoviedb.org/movie/840882
Deathstroke: Knights & Dragons - The Movie,69.0,08/04/2020,"Animation,Action,Adventure,ScienceFiction",Sung Jin Ahn,1h 27m,https://themoviedb.org/movie/703771
Dancing on Glass,58.0,04/08/2022,Drama,Jota Linares,2h 17m,https://themoviedb.org/movie/800407
Metal Lords,68.0,04/08/2022,"Comedy,Drama,Music",Peter Sollett,1h 37m,https://themoviedb.org/movie/739993
Mobile Suit Gundam Hathaway,76.0,06/11/2021,"Animation,Action,Drama,ScienceFiction",Shuko Murase,1h 36m,https://themoviedb.org/movie/685274
The Exorcism of God,66.0,02/10/2022,Horror,Alejandro Hidalgo,1h 38m,https://themoviedb.org/movie/836225
Coraline,78.0,02/06/2009,"Animation,Family,Fantasy",Henry Selick,1h 40m,https://themoviedb.org/movie/14836
Godzilla vs. Kong,78.0,03/24/2021,"Action,Fantasy,ScienceFiction",Adam Wingard,1h 53m,https://themoviedb.org/movie/399566
Dragon Ball Z: Resurrection 'F',68.0,04/18/2015,"Action,Animation,ScienceFiction",Tadayoshi Yamamuro,1h 33m,https://themoviedb.org/movie/303857
The Avengers,77.0,04/27/2012,"ScienceFiction,Action,Adventure",Joss Whedon,2h 23m,https://themoviedb.org/movie/24428
